n,range_insert,range_append
1,1,0
2,1,1
3,1,0
4,1,0
5,0,0
6,1,0
7,1,1
8,1,0
9,1,1
10,1,0
11,3,0
12,1,1
13,2,0
14,1,0
15,1,1
16,1,1
17,1,0
18,1,1
19,3,1
20,1,0
21,1,0
22,1,1
23,1,1
24,1,1
25,3,0
26,2,0
27,1,0
28,1,1
29,4,2
30,2,0
31,1,0
32,2,0
33,3,1
34,2,1
35,2,1
36,2,2
37,3,1
38,2,1
39,2,2
40,3,1
41,2,1
42,2,1
43,4,2
44,2,1
45,2,2
46,4,1
47,2,1
48,2,1
49,4,1
50,2,1
51,4,2
52,2,0
53,4,1
54,2,1
55,2,2
56,6,1
57,3,1
58,4,2
59,2,1
60,4,2
61,3,1
62,4,2
63,3,1
64,5,2
65,3,2
66,4,2
67,3,1
68,5,1
69,2,2
70,5,1
71,3,1
72,5,1
73,5,2
74,3,1
75,5,2
76,3,2
77,5,1
78,5,2
79,4,1
80,5,3
81,3,2
82,5,1
83,7,2
84,4,2
85,5,1
86,5,2
87,6,2
88,5,1
89,6,2
90,5,2
91,4,2
92,6,1
93,5,3
94,6,2
95,4,2
96,5,2
97,6,2
98,6,3
99,4,2
100,6,1
101,6,3
102,6,2
103,7,2
104,4,3
105,6,2
106,6,2
107,6,2
108,6,3
109,6,2
110,5,2
111,6,3
112,7,2
113,6,3
114,6,3
115,6,2
116,6,2
117,7,2
118,7,3
119,6,3
120,8,4
121,7,3
122,5,3
123,6,3
124,7,3
125,6,2
126,7,2
127,8,2
128,7,2
129,7,2
130,6,2
131,7,3
132,9,3
133,7,3
134,7,3
135,9,3
136,7,2
137,7,3
138,7,3
139,7,3
140,8,3
141,9,2
142,9,3
143,7,3
144,10,3
145,8,3
146,7,3
147,8,3
148,7,2
149,10,3
150,9,3
151,8,3
152,8,4
153,8,3
154,8,4
155,10,3
156,9,3
157,9,3
158,8,3
159,10,5
160,8,3
161,10,3
162,8,4
163,10,3
164,9,3
165,8,3
166,9,4
167,10,3
168,9,3
169,8,4
170,10,4
