valeur, temps
1, 0.000000
2, 1.000000
3, 0.000000
4, 0.000000
5, 0.000000
6, 0.000000
7, 1.000000
8, 0.000000
9, 1.000000
10, 0.000000
11, 0.000000
12, 1.000000
13, 0.000000
14, 0.000000
15, 1.000000
16, 1.000000
17, 0.000000
18, 1.000000
19, 1.000000
20, 0.000000
21, 0.000000
22, 1.000000
23, 1.000000
24, 1.000000
25, 0.000000
26, 0.000000
27, 0.000000
28, 1.000000
29, 2.000000
30, 0.000000
31, 0.000000
32, 0.000000
33, 1.000000
34, 1.000000
35, 1.000000
36, 2.000000
37, 1.000000
38, 1.000000
39, 2.000000
40, 1.000000
41, 1.000000
42, 1.000000
43, 2.000000
44, 1.000000
45, 2.000000
46, 1.000000
47, 1.000000
48, 1.000000
49, 1.000000
50, 1.000000
51, 2.000000
52, 0.000000
53, 1.000000
54, 1.000000
55, 2.000000
56, 1.000000
57, 1.000000
58, 2.000000
59, 1.000000
60, 2.000000
61, 1.000000
62, 2.000000
63, 1.000000
64, 2.000000
65, 2.000000
66, 2.000000
67, 1.000000
68, 1.000000
69, 2.000000
70, 1.000000
71, 1.000000
72, 1.000000
73, 2.000000
74, 1.000000
75, 2.000000
76, 2.000000
77, 1.000000
78, 2.000000
79, 1.000000
80, 3.000000
81, 2.000000
82, 1.000000
83, 2.000000
84, 2.000000
85, 1.000000
86, 2.000000
87, 2.000000
88, 1.000000
89, 2.000000
90, 2.000000
91, 2.000000
92, 1.000000
93, 3.000000
94, 2.000000
95, 2.000000
96, 2.000000
97, 2.000000
98, 3.000000
99, 2.000000
100, 1.000000
101, 3.000000
102, 2.000000
103, 2.000000
104, 3.000000
105, 2.000000
106, 2.000000
107, 2.000000
108, 3.000000
109, 2.000000
110, 2.000000
111, 3.000000
112, 2.000000
113, 3.000000
114, 3.000000
115, 2.000000
116, 2.000000
117, 2.000000
118, 3.000000
119, 3.000000
120, 4.000000
121, 3.000000
122, 3.000000
123, 3.000000
124, 3.000000
125, 2.000000
126, 2.000000
127, 2.000000
128, 2.000000
129, 2.000000
130, 2.000000
131, 3.000000
132, 3.000000
133, 3.000000
134, 3.000000
135, 3.000000
136, 2.000000
137, 3.000000
138, 3.000000
139, 3.000000
140, 3.000000
141, 2.000000
142, 3.000000
143, 3.000000
144, 3.000000
145, 3.000000
146, 3.000000
147, 3.000000
148, 2.000000
149, 3.000000
150, 3.000000
151, 3.000000
152, 4.000000
153, 3.000000
154, 4.000000
155, 3.000000
156, 3.000000
157, 3.000000
158, 3.000000
159, 5.000000
160, 3.000000
161, 3.000000
162, 4.000000
163, 3.000000
164, 3.000000
165, 3.000000
166, 4.000000
167, 3.000000
168, 3.000000
169, 4.000000
170, 4.000000
171, 4.000000
172, 4.000000
173, 179.000000
174, 4.000000
175, 5.000000
176, 3.000000
177, 4.000000
178, 4.000000
179, 3.000000
180, 4.000000
181, 4.000000
182, 5.000000
183, 3.000000
184, 4.000000
185, 4.000000
186, 4.000000
187, 4.000000
188, 4.000000
189, 6.000000
190, 4.000000
191, 4.000000
192, 4.000000
193, 4.000000
194, 3.000000
195, 4.000000
196, 4.000000
197, 4.000000
198, 4.000000
199, 4.000000
200, 5.000000
201, 4.000000
202, 5.000000
203, 4.000000
204, 5.000000
205, 4.000000
206, 4.000000
207, 4.000000
208, 4.000000
209, 3.000000
210, 4.000000
211, 4.000000
212, 4.000000
213, 4.000000
214, 5.000000
215, 4.000000
216, 6.000000
217, 5.000000
218, 4.000000
219, 4.000000
220, 5.000000
221, 4.000000
222, 5.000000
223, 5.000000
224, 5.000000
225, 4.000000
226, 4.000000
227, 4.000000
228, 5.000000
229, 5.000000
230, 4.000000
231, 5.000000
232, 5.000000
233, 5.000000
234, 4.000000
235, 5.000000
236, 5.000000
237, 5.000000
238, 5.000000
239, 4.000000
240, 5.000000
241, 5.000000
242, 5.000000
243, 4.000000
244, 6.000000
245, 4.000000
246, 4.000000
247, 5.000000
248, 5.000000
249, 5.000000
250, 7.000000
251, 5.000000
252, 5.000000
253, 5.000000
254, 5.000000
255, 5.000000
256, 5.000000
257, 5.000000
258, 5.000000
259, 5.000000
260, 6.000000
261, 5.000000
262, 5.000000
263, 6.000000
264, 6.000000
265, 6.000000
266, 5.000000
267, 6.000000
268, 5.000000
269, 5.000000
270, 5.000000
271, 6.000000
272, 5.000000
273, 5.000000
274, 6.000000
275, 5.000000
276, 5.000000
277, 6.000000
278, 5.000000
279, 5.000000
280, 8.000000
281, 6.000000
282, 6.000000
283, 6.000000
284, 6.000000
285, 6.000000
286, 5.000000
287, 5.000000
288, 6.000000
289, 6.000000
