valeur, temps
1, 1.000000
2, 1.000000
3, 1.000000
4, 1.000000
5, 0.000000
6, 1.000000
7, 1.000000
8, 1.000000
9, 1.000000
10, 1.000000
11, 3.000000
12, 1.000000
13, 2.000000
14, 1.000000
15, 1.000000
16, 1.000000
17, 1.000000
18, 1.000000
19, 3.000000
20, 1.000000
21, 1.000000
22, 1.000000
23, 1.000000
24, 1.000000
25, 3.000000
26, 2.000000
27, 1.000000
28, 1.000000
29, 4.000000
30, 2.000000
31, 1.000000
32, 2.000000
33, 3.000000
34, 2.000000
35, 2.000000
36, 2.000000
37, 3.000000
38, 2.000000
39, 2.000000
40, 3.000000
41, 2.000000
42, 2.000000
43, 4.000000
44, 2.000000
45, 2.000000
46, 4.000000
47, 2.000000
48, 2.000000
49, 4.000000
50, 2.000000
51, 4.000000
52, 2.000000
53, 4.000000
54, 2.000000
55, 2.000000
56, 6.000000
57, 3.000000
58, 4.000000
59, 2.000000
60, 4.000000
61, 3.000000
62, 4.000000
63, 3.000000
64, 5.000000
65, 3.000000
66, 4.000000
67, 3.000000
68, 5.000000
69, 2.000000
70, 5.000000
71, 3.000000
72, 5.000000
73, 5.000000
74, 3.000000
75, 5.000000
76, 3.000000
77, 5.000000
78, 5.000000
79, 4.000000
80, 5.000000
81, 3.000000
82, 5.000000
83, 7.000000
84, 4.000000
85, 5.000000
86, 5.000000
87, 6.000000
88, 5.000000
89, 6.000000
90, 5.000000
91, 4.000000
92, 6.000000
93, 5.000000
94, 6.000000
95, 4.000000
96, 5.000000
97, 6.000000
98, 6.000000
99, 4.000000
100, 6.000000
101, 6.000000
102, 6.000000
103, 7.000000
104, 4.000000
105, 6.000000
106, 6.000000
107, 6.000000
108, 6.000000
109, 6.000000
110, 5.000000
111, 6.000000
112, 7.000000
113, 6.000000
114, 6.000000
115, 6.000000
116, 6.000000
117, 7.000000
118, 7.000000
119, 6.000000
120, 8.000000
121, 7.000000
122, 5.000000
123, 6.000000
124, 7.000000
125, 6.000000
126, 7.000000
127, 8.000000
128, 7.000000
129, 7.000000
130, 6.000000
131, 7.000000
132, 9.000000
